"Inventory distribution of publicly owned potable water assets by physical condition rating, Infrastructure Canada 1 2"
"Frequency: Occasional"
"Table: 34-10-0196-01"
"Release date: 2020-11-23"
"Geography: Canada, Province or territory"
""
""

,,"2016",,,,,,"2018",,,,,
"Geography","Potable water assets","Very poor 3","Poor 4","Fair 5","Good 6","Very good 7","Physical condition unknown","Very poor 3","Poor 4","Fair 5","Good 6","Very good 7","Physical condition unknown"
"Canada",,"Percentage",,,,,,,,,,,
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0"
,"Pipes of unknown diameter","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0"
"Northwest Territories","Water treatment facilities","0.0","0.0","0.0","34.5","65.5","0.0","0.0","0.0","12.1","52.8","29.9","5.2"
,"Water reservoirs (including dams) before intake 8","0.0","0.0","34.6","50.0","15.4","0.0","0.0","0.0","50.8","6.0","16.0","27.2"
,"Storage tanks after intake not part of a treatment plant","0.0","0.0","33.3","66.7","0.0","0.0","0.0","0.0","0.0","50.8","25.4","23.8"
,"Water pump stations 9","0.0","0.0","18.0","52.1","29.9","0.0","0.0","0.0","33.6","13.4","18.5","34.5"
,"Local water pipes (diameter less than 416 mm) 10","0.0","0.0","51.7","15.7","32.6","0.0","4.9","4.9","42.1","47.0","1.2","0.0"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","50.0","50.0","0.0","0.0"
,"Pipes of unknown diameter","0.0","0.0","0.0","100.0","0.0","0.0","0.0","13.5","0.8","1.0","0.0","84.8"
"Nunavut","Water treatment facilities","0.0","86.8","13.2","0.0","0.0","0.0","0.0","0.0","25.5","F","12.6","F"
,"Water reservoirs (including dams) before intake 8","0.0","0.0","68.8","31.3","0.0","0.0","0.0","0.0","F","0.0","F","0.8"
,"Storage tanks after intake not part of a treatment plant","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","33.7","50.0","16.3","0.0"
,"Water pump stations 9","0.0","84.4","0.0","15.6","0.0","0.0","0.0","17.4","35.3","0.0","16.0","F"
,"Local water pipes (diameter less than 416 mm) 10","14.0","36.0","28.0","22.0","0.0","0.0","0.0","60.0","18.0","10.0","6.0","6.0"
,"Transmission pipes (diameter greater than or equal to 416 mm) 11","..","..","..","..","..","..","0.0","0.0","0.0","0.0","99.0","1.0"
,"Pipes of unknown diameter","..","..","..","..","..","..","0.0","0.0","0.0","0.0","0.0","0.0"

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable



Footnotes:
1,"Figures may not add to totals due to rounding."
2,"Estimates for 2018 may not be comparable to those for 2016 due to improved coverage and definitions as well as changes in survey methodology."
3,"Very poor: as of 2018, defined as having an immediate need to replace most or all of the asset. Health and safety hazards exist which present a possible risk to public safety or asset cannot be serviced/operated without risk to personnel. Major work or replacement required urgently.  The operating asset has less than 10% of its expected service life remaining. "
4,"Poor: as of 2018, defined as a failure likely and substantial work required in the short term. Asset barely serviceable. No immediate risk to health or safety. The operating asset has less than 40% of its expected service life remaining."
