Occupational category,Occupation type,Number,Total workers with a disability,Ambulatory difficulty Percent,Hearing difficulty Percent,Cognitive difficulty Percent,Vision difficulty Percent,Independent living difficulty Percent,Self-care difficulty Percent
Physicians and surgeons,Detailed,"25,575","25,575",27.9,50.3,8.8,24.5,10.1,9.0
Physician assistants,Detailed,-,-,-,-,-,-,-,-
Podiatrists,Detailed,-,-,-,-,-,-,-,-
Audiologists,Detailed,-,-,-,-,-,-,-,-
Occupational therapists,Detailed,-,-,-,-,-,-,-,-
Physical therapists,Detailed,-,-,-,-,-,-,-,-
Radiation therapists,Detailed,-,-,-,-,-,-,-,-
Recreational therapists,Detailed,-,-,-,-,-,-,-,-
Respiratory therapists,Detailed,-,-,-,-,-,-,-,-
Speech-language pathologists,Detailed,-,-,-,-,-,-,-,-
"Miscellaneous therapists, including exercise physiologists",Detailed,"8,865","8,865",38.0,22.9,26.6,23.8,15.2,7.3
Veterinarians,Detailed,-,-,-,-,-,-,-,-
Registered nurses,Detailed,"132,375","132,375",39.9,28.0,19.2,23.6,13.8,7.0
Nurse anesthetists,Detailed,-,-,-,-,-,-,-,-
Nurse midwives,Detailed,-,-,-,-,-,-,-,-
Nurse practitioners,Detailed,-,-,-,-,-,-,-,-
"Health diagnosing and treating practitioners, all other",Detailed,-,-,-,-,-,-,-,-
Clinical laboratory technologists and technicians,Detailed,"15,655","15,655",47.0,19.8,21.1,22.0,12.4,5.5
Dental hygienists,Detailed,-,-,-,-,-,-,-,-
Diagnostic related technologists and technicians,Detailed,"14,720","14,720",34.8,31.8,25.4,22.8,16.8,6.6
Emergency medical technicians and paramedics,Detailed,"10,455","10,455",22.8,44.7,34.7,24.2,11.8,3.6
Health practitioner support technologists and technicians,Detailed,"35,110","35,110",34.4,24.5,33.3,23.0,16.2,7.3
Licensed practical and licensed vocational nurses,Detailed,"56,795","56,795",43.5,27.2,22.9,24.1,15.0,6.9
Medical records and health information technicians,Detailed,"14,140","14,140",45.2,22.2,22.5,24.9,13.5,4.4
"Opticians, dispensing",Detailed,-,-,-,-,-,-,-,-
Miscellaneous health technologists and technicians,Detailed,"8,255","8,255",39.7,35.8,21.3,15.3,10.4,2.2
Other healthcare practitioners and technical occupations,Detailed,"7,250","7,250",26.2,38.3,28.4,23.2,7.5,3.0
"Nursing, psychiatric, and home health aides",Detailed,"150,165","150,165",42.8,18.4,31.4,26.2,15.8,7.8
Occupational therapy assistants and aides,Detailed,-,-,-,-,-,-,-,-
Physical therapist assistants and aides,Detailed,-,-,-,-,-,-,-,-
Massage therapists,Detailed,"9,830","9,830",27.2,19.2,37.2,25.4,17.0,8.4
Dental assistants,Detailed,"10,220","10,220",29.6,35.1,29.8,19.1,18.7,8.0
Medical assistants,Detailed,"21,915","21,915",33.8,23.8,33.1,29.8,14.3,7.3
Medical transcriptionists,Detailed,-,-,-,-,-,-,-,-
Pharmacy aides,Detailed,-,-,-,-,-,-,-,-
Veterinary assistants and laboratory animal caretakers,Detailed,-,-,-,-,-,-,-,-
Phlebotomists,Detailed,-,-,-,-,-,-,-,-
"Healthcare support workers, all other, including medical equipment preparers",Detailed,"10,025","10,025",24.3,22.3,42.3,18.1,18.9,2.1
First-line supervisors of correctional officers,Detailed,-,-,-,-,-,-,-,-
First-line supervisors of police and detectives,Detailed,-,-,-,-,-,-,-,-
First-line supervisors of fire fighting and prevention workers,Detailed,-,-,-,-,-,-,-,-
"First-line supervisors of protective service workers, all other",Detailed,-,-,-,-,-,-,-,-
Firefighters,Detailed,"9,770","9,770",14.0,51.1,19.4,16.5,14.5,3.1
Fire inspectors,Detailed,-,-,-,-,-,-,-,-
"Bailiffs, correctional officers, and jailers",Detailed,"22,750","22,750",37.2,46.8,21.7,18.3,11.9,6.9
Detectives and criminal investigators,Detailed,-,-,-,-,-,-,-,-
Fish and game wardens,Detailed,-,-,-,-,-,-,-,-
Parking enforcement workers,Detailed,-,-,-,-,-,-,-,-
Police and sheriff's patrol officers,Detailed,"28,765","28,765",27.6,56.5,20.0,14.0,10.9,5.9
Transit and railroad police,Detailed,-,-,-,-,-,-,-,-
Animal control workers,Detailed,-,-,-,-,-,-,-,-
Private detectives and investigators,Detailed,-,-,-,-,-,-,-,-
Security guards and gaming surveillance officers,Detailed,"90,725","90,725",42.0,34.5,26.6,20.4,13.4,6.7
Crossing guards,Detailed,"7,470","7,470",51.3,41.5,28.6,13.7,17.4,9.3
